type,title,person,year,month,day,count,notes,Relevant Link
Fugitive,Fugitive,0x44,,,,,,
Champion,Apathy,ais523,,,,,,
Champion,Clout,ais523,,,,,,
Champion,High Score,ais523,,,,,,
Champion,High Score,ais523,,,,,,
Champion,High Score,ais523,,,,,,
Champion,Junta,ais523,,,,,,
Champion,Junta,ais523,,,,,,
Champion,Leadership,ais523,,,,,,
Champion,Musicianship,ais523,,,,,,
Champion,Paradox,ais523,,,,,,
Champion,Proposal,ais523,,,,,,
Champion,Proposal,ais523,,,,,,
Champion,Proposal,ais523,,,,,,
Champion,Proposal,ais523,,,,,,
Champion,Renaissance,ais523,,,,,,
Champion,Solitude,ais523,,,,,,
Champion,Solitude,ais523,,,,,,
Service Award,Three Months,ais523,,,,,,
Service Award,Six Months,ais523,,,,,,
Badge,Coming of Age,ais523,2011,7,,,,
Degree,Magisteriate of Nomic,ais523,,,,,,
Degree,Doctorate of Nomic Philosophy,ais523,,,,,,
Badge,Order of the Lemming,ais523,2014,1,,,,
Badge,Badge of the Great Agoran Revival,ais523,2017,5,,,,
Other,H.,ais523,,,,,,
Other,Scamster,ais523,,,,,,
Silver Quill,Silver Quill,ais523,2015,7,,,P7698,https://mailman.agoranomic.org/cgi-bin/mailman/private/agora-official/2015-August/011105.html
Silver Quill,Silver Quill,ais523,2016,13,,,P8430,
Champion,Anarchy,Alexis,,,,,,
Champion,Clout,Alexis,,,,,,
Champion,High Score,Alexis,,,,,,
Champion,High Score,Alexis,,,,,,
Champion,Junta,Alexis,,,,,,
Champion,Lotto,Alexis,,,,,,
Champion,Paradox,Alexis,,,,,,
Champion,Proposal,Alexis,,,,,,
Champion,Proposal,Alexis,,,,,,
Champion,Proposal,Alexis,,,,,,
Champion,Renaissance,Alexis,,,,,,
Champion,Renaissance,Alexis,,,,,,
Champion,Renaissance,Alexis,,,,,,
Champion,Solitude,Alexis,,,,,,
Champion,Solitude,Alexis,,,,,,
Service Award,Three Months,Alexis,,,,,,
Service Award,Six Months,Alexis,,,,,,
Badge,Coming of Age,Alexis,2011,7,,,,
Degree,Associate of Nomic,Alexis,,,,,,
Degree,Baccalaureate of Nomic,Alexis,,,,,,
Badge,Agora XX,Alexis,2013,7,,,,
Badge,Order of the Lemming,Alexis,2014,1,,,,
Badge,Badge of the Great Agoran Revival,Alexis,2017,5,,,,
Other,Bard,Alexis,,,,,,
Other,Prince of Andorra,Alexis,,,,,,
Other,Princess of Agora,Alexis,,,,,,
Silver Quill,Silver Quill,Alexis,2014,13,,,P7629,
Champion,Proposal,allispaul,,,,,,
Champion,Proposal,Andon,,,,,,
Champion,Proposal,Andre,,,,,,
