Name,Change,Reason,Date
secretsnail,+4,author of 8638,Feb 23 2022
G.,+4,author of 8639,Feb 23 2022
Jason,+3,author of 8642,Feb 23 2022
G.,+3,vote against 8642,Feb 23 2022
secretsnail,+3,vote against 8643,Feb 23 2022
Jason,+2,author of 8644,Feb 23 2022
ais523,+1,coauthor of 8644,Feb 23 2022
secretsnail,+3,vote against 8644,Feb 23 2022
ATMunn,+4,author of 8645,Mar 15 2022
nix,+1,coauthor of 8645,Mar 15 2022
secretsnail,+3,vote against 8645,Mar 15 2022
Jason,+4,author of 8646,Mar 15 2022
G.,+1,coauthor of 8646,Mar 15 2022
ais523,+1,coauthor of 8646,Mar 15 2022
secretsnail,+3,vote against 8646,Mar 15 2022
secretsnail,+2,author of 8648,Mar 15 2022
Jason,+2,author of 8650,Mar 15 2022
nix,+2,vote against 8650,Mar 15 2022
G.,+3,vote against 8650,Mar 15 2022
secretsnail,+13,vote against 8650,Mar 15 2022
Jason,+2,author of 8651,Mar 15 2022
Aspen,+1,coauthor of 8651,Mar 15 2022
secretsnail,+3,vote against 8651,Mar 15 2022
ais523,+2,author of 8653,Mar 15 2022
nix,+2,vote against 8653,Mar 15 2022
G.,+3,vote against 8653,Mar 15 2022
secretsnail,+13,vote against 8653,Mar 15 2022
G.,+2,author of 8654,Mar 15 2022
Aspen,+3,vote against 8654,Mar 15 2022
Murphy,+4,author of 8657,2022-04-03
nix,+4,author of 8659,2022-04-03
G.,+4,co-author of 8659,2022-04-03
secretsnail,+1,co-author of 8659,2022-04-03
nix,+4,author of 8660,2022-04-03
G.,+1,co-author of 8660,2022-04-03
Jason,+1,co-author of 8660,2022-04-03
secretsnail,+1,co-author of 8660,2022-04-03
nix,+2,author of 8661,2022-04-03
G.,+1,co-author of 8661,2022-04-03
Jason,+1,co-author of 8661,2022-04-03
Trigon,+1,co-author of 8661,2022-04-03
secretsnail,+2,author of 8662,2022-04-03
Jason,+1,co-author of 8662,2022-04-03
Telna,+1,co-author of 8662,2022-04-03
Jason,+2,author of 8655,2022-04-03
nix,+1,co-author of 8655,2022-04-03
Jason,+2,author of 8656,2022-04-03
nix,+4,author of 8665,Apr 28 2022
Jason,+1,co-author of 8665,Apr 28 2022
ais523,+1,co-author of 8665,Apr 28 2022
G.,+2,author of 8667,Apr 28 2022
G.,+2,author of 8668,Apr 28 2022
nix,2,author of 8669,May 07 2022
nix,2,author of 8670,May 07 2022
secretsnail,1,author of 8670,May 07 2022
Jason,2,author of 8671,May 07 2022
Murphy,+2,author of 8673,May 20 2022
nix,+2,author of 8674,May 20 2022
secretsnail,+2,author of 8676,May 21 2022
nix,+3,author of 8679,May 28 2022
G.,+1,coauthor of 8679,May 28 2022
Jason,+1,coauthor of 8679,May 28 2022
secretsnail,+1,coauthor of 8679,May 28 2022
Murphy,+1,coauthor of 8679,May 28 2022
Jason,+3,author of 8680,May 28 2022
G.,+1,coauthor of 8680,May 28 2022
Jason,+2,author of 8681,May 28 2022
secretsnail,+2,author of 8682,Jun 18 2022
secretsnail,-28,P8684,Jun 25 2022
Jason,-14,P8684,Jun 25 2022
nix,-14,P8684,Jun 25 2022
G.,-14,P8684,Jun 25 2022
Murphy,-3,P8684,Jun 25 2022
ais523,-2,P8684,Jun 25 2022
Telna,-0,P8684,Jun 25 2022
Trigon,-0,P8684,Jun 25 2022
secretsnail,-15,New Quarter,Jul 01 2022
Jason,-8,New Quarter,Jul 01 2022
nix,-8,New Quarter,Jul 01 2022
G.,-7,New Quarter,Jul 01 2022
Murphy,-2,New Quarter,Jul 01 2022
ais523,-2,New Quarter,Jul 01 2022
